RecordNo,SaleDate,ProductCategoryName,UnitOfMeasureName,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,TotalPrice,,,,,
2143,2019-06-26,Raw Pre-Rolls,Grams,0,0,1985.4,30377.38,1985.4,30377.38,,,,,
2143,2019-06-26,Concentrate (Each),Each,6521,360958.19,0,0,6521,360958.19,,,,,
2143,2019-06-26,Concentrate (Each),Each,1,45.5,0,0,1,45.5,,,,,
2143,2019-06-26,Concentrate,Grams,0,0,35,2589.42,35,2589.42,,,,,
2143,2019-06-26,Infused (edible),Each,7326,145209.79,0,0,7326,145209.79,,,,,
2143,2019-06-26,Concentrate (Each),Grams,0,0,8,441,8,441,,,,,
2154,2019-06-27,Raw Pre-Rolls,Grams,0,0,2942.8,45735.18,2942.8,45735.18,,,,,
2154,2019-06-27,Infused (non-edible),Each,1540,75270.87,0,0,1540,75270.87,,,,,
2154,2019-06-27,Concentrate (Each),Grams,0,0,10,600,10,600,,,,,
2154,2019-06-27,Concentrate (Each),Each,7524,415596.13,0,0,7524,415596.13,,,,,
2154,2019-06-27,Buds,Grams,0,0,11,77.71,11,77.71,,,,,
2154,2019-06-27,Buds,Grams,0,0,44170.13,626354.89,44170.13,626354.89,,,,,
2154,2019-06-27,Concentrate,Grams,0,0,51,3979.01,51,3979.01,,,,,
2154,2019-06-27,Shake/Trim (by strain),Grams,0,0,198,2948,198,2948,,,,,
2154,2019-06-27,Infused (edible),Each,6182,170053.32,0,0,6182,170053.32,,,,,
2163,2019-06-28,Concentrate,Grams,0,0,68,5667.98,68,5667.98,,,,,
2163,2019-06-28,Infused (non-edible),Each,1847,93077.01,0,0,1847,93077.01,,,,,
2163,2019-06-28,Infused (edible),Each,2,118.25,0,0,2,118.25,,,,,
2163,2019-06-28,Concentrate (Each),Grams,0,0,3,180,3,180,,,,,
2163,2019-06-28,Buds,Grams,0,0,43,292,43,292,,,,,
2163,2019-06-28,Infused (edible),Each,7705,216563.9,0,0,7705,216563.9,,,,,
2163,2019-06-28,Concentrate (Each),Each,9680,535177.8,0,0,9680,535177.8,,,,,
2163,2019-06-28,Concentrate (Each),Each,5,31.54,0,0,5,31.54,,,,,
2163,2019-06-28,Raw Pre-Rolls,Grams,0,0,3315.5,51015.52,3315.5,51015.52,,,,,
2163,2019-06-28,Buds,Grams,0,0,55768.48,794939.68,55768.48,794939.68,,,,,
2163,2019-06-28,Shake/Trim (by strain),Grams,0,0,214,3206,214,3206,,,,,
2174,2019-06-29,Raw Pre-Rolls,Grams,0,0,2756,42337.07,2756,42337.07,,,,,
2174,2019-06-29,Shake/Trim (by strain),Grams,0,0,294,4175.45,294,4175.45,,,,,
2174,2019-06-29,Concentrate (Each),Each,9977,547810.55,0,0,9977,547810.55,,,,,
2174,2019-06-29,Buds,Grams,0,0,26.5,308.85,26.5,308.85,,,,,
2174,2019-06-29,Infused (edible),Each,1,8.75,0,0,1,8.75,,,,,
2174,2019-06-29,Concentrate,Grams,0,0,74,6511.8,74,6511.8,,,,,
2174,2019-06-29,Infused (non-edible),Each,1960,98211.43,0,0,1960,98211.43,,,,,
2174,2019-06-29,Buds,Grams,0,0,56837.18,818772.2,56837.18,818772.2,,,,,
2174,2019-06-29,Infused (edible),Each,8786,245887.83,0,0,8786,245887.83,,,,,
2174,2019-06-29,Concentrate (Each),Each,7,123.02,0,0,7,123.02,,,,,
2184,2019-06-30,Buds,Grams,0,0,6.5,60.2,6.5,60.2,,,,,
2184,2019-06-30,Infused (edible),Each,6479,186232.83,0,0,6479,186232.83,,,,,
2184,2019-06-30,Raw Pre-Rolls,Grams,0,0,2473.7,38577.15,2473.7,38577.15,,,,,
2184,2019-06-30,Shake/Trim (by strain),Grams,0,0,340,4860.39,340,4860.39,,,,,
2184,2019-06-30,Infused (edible),Each,3,0.03,0,0,3,0.03,,,,,
2184,2019-06-30,Buds,Grams,0,0,44450.34,640672.96,44450.34,640672.96,,,,,
2184,2019-06-30,Concentrate (Each),Each,7950,437574.57,0,0,7950,437574.57,,,,,
2184,2019-06-30,Concentrate,Grams,0,0,69.5,5908.9,69.5,5908.9,,,,,
2184,2019-06-30,Concentrate (Each),Each,3,129.5,0,0,3,129.5,,,,,
2184,2019-06-30,Infused (non-edible),Each,1635,81040.14,0,0,1635,81040.14,,,,,
2194,2019-07-01,Concentrate (Each),Each,1,0.01,0,0,1,0.01,,,,,
2194,2019-07-01,Raw Pre-Rolls,Grams,0,0,2447.8,38388.36,2447.8,38388.36,,,,,
2194,2019-07-01,Shake/Trim (by strain),Grams,0,0,580.2,6455.34,580.2,6455.34,,,,,
2194,2019-07-01,Infused (non-edible),Each,1616,83438.91,0,0,1616,83438.91,,,,,
2194,2019-07-01,Buds,Grams,0,0,43006.83,605066.16,43006.83,605066.16,,,,,
2194,2019-07-01,Infused (edible),Each,5502,151471.94,0,0,5502,151471.94,,,,,
2194,2019-07-01,Concentrate,Grams,0,0,74.5,6711.19,74.5,6711.19,,,,,
2194,2019-07-01,Concentrate (Each),Each,7183,389389.86,0,0,7183,389389.86,,,,,
2202,2019-07-02,Infused (edible),Each,6456,177500.8,0,0,6456,177500.8,,,,,
2202,2019-07-02,Concentrate,Grams,0,0,38,2891.38,38,2891.38,,,,,
2202,2019-07-02,Concentrate (Each),Each,5,84.03,0,0,5,84.03,,,,,
2202,2019-07-02,Concentrate (Each),Each,7690,423624.45,0,0,7690,423624.45,,,,,
2202,2019-07-02,Buds,Grams,0,0,46359.14,651759.08,46359.14,651759.08,,,,,
2202,2019-07-02,Infused (non-edible),Each,1724,87290.92,0,0,1724,87290.92,,,,,
2202,2019-07-02,Raw Pre-Rolls,Grams,0,0,3144.9,49175.11,3144.9,49175.11,,,,,
2202,2019-07-02,Buds,Grams,0,0,15,132.1,15,132.1,,,,,
2202,2019-07-02,Shake/Trim (by strain),Grams,0,0,360.6,4927.5,360.6,4927.5,,,,,
2211,2019-07-03,Concentrate (Each),Each,4,136.51,0,0,4,136.51,,,,,
2211,2019-07-03,Shake/Trim (by strain),Grams,0,0,296,4518,296,4518,,,,,
2211,2019-07-03,Infused (edible),Each,7495,210630.07,0,0,7495,210630.07,,,,,
2211,2019-07-03,Infused (edible),Each,1,0.01,0,0,1,0.01,,,,,
2211,2019-07-03,Buds,Grams,0,0,10.5,94.5,10.5,94.5,,,,,
2211,2019-07-03,Raw Pre-Rolls,Grams,0,0,3294.5,52914.56,3294.5,52914.56,,,,,
2211,2019-07-03,Buds,Grams,0,0,54815.92,783932.74,54815.92,783932.74,,,,,
2211,2019-07-03,Concentrate,Grams,0,0,96.5,10027.38,96.5,10027.38,,,,,
2211,2019-07-03,Concentrate (Each),Each,8192,493247.95,0,0,8932.5,493247.95,,,,,
2211,2019-07-03,Infused (non-edible),Each,1712,87781.45,0,0,1712,87781.45,,,,,
2221,2019-07-04,Infused (edible),Each,4313,116714.59,0,0,4313,116714.59,,,,,
2221,2019-07-04,Buds,Grams,0,0,9,75.6,9,75.6,,,,,
2221,2019-07-04,Infused (non-edible),Each,755,43050.31,0,0,755,43050.31,,,,,
2221,2019-07-04,Concentrate (Each),Each,4731,258584.21,0,0,4731,258584.21,,,,,
2221,2019-07-04,Raw Pre-Rolls,Grams,0,0,1080.5,17998.06,1080.5,17998.06,,,,,
2221,2019-07-04,Infused (edible),Each,46,0.43,0,0,46,0.43,,,,,
2221,2019-07-04,Shake/Trim (by strain),Grams,0,0,168.5,2531,168.5,2531,,,,,
2221,2019-07-04,Concentrate,Grams,0,0,43.15,3417.73,43.15,3417.73,,,,,
2221,2019-07-04,Buds,Grams,0,0,28661.67,409942.84,28661.67,409942.84,,,,,
2230,2019-07-05,Concentrate,Grams,0,0,168,6258.63,168,6258.63,,,,,
2230,2019-07-05,Infused (non-edible),Each,2146,112883.49,0,0,2146,112883.49,,,,,
2230,2019-07-05,Infused (edible),Each,8562,243526.56,0,0,8562,243526.56,,,,,
2230,2019-07-05,Buds,Grams,0,0,60709.59,862116.39,60709.59,862116.39,,,,,
2230,2019-07-05,Shake/Trim (by strain),Grams,0,0,286.5,4326.7,286.5,4326.7,,,,,
2230,2019-07-05,Concentrate (Each),Each,1,60,0,0,1,60,,,,,
2230,2019-07-05,Suppository,Each,1,16,0,0,1,16,,,,,
2230,2019-07-05,Concentrate (Each),Each,10590,581233.35,0,0,10590,581233.35,,,,,
2230,2019-07-05,Raw Pre-Rolls,Grams,0,0,4629.8,74316.69,4629.8,74316.69,,,,,
2230,2019-07-05,Buds,Grams,0,0,3,39.1,3,39.1,,,,,
2240,2019-07-06,Raw Pre-Rolls,Grams,0,0,3048,48585.87,3048,48585.87,,,,,
2240,2019-07-06,Shake/Trim (by strain),Grams,0,0,288.5,4380,288.5,4380,,,,,
2240,2019-07-06,Buds,Grams,0,0,54519.16,777380.68,54519.16,777380.68,,,,,
2240,2019-07-06,Concentrate,Grams,0,0,137.2,5884.77,137.2,5884.77,,,,,
2240,2019-07-06,Infused (edible),Each,8773,253529.25,0,0,8773,253529.25,,,,,
2240,2019-07-06,Infused (non-edible),Each,1906,93562.51,0,0,1906,93562.51,,,,,
2240,2019-07-06,Suppository,Each,4,64,0,0,4,64,,,,,
2240,2019-07-06,Concentrate (Each),Each,9616,524228.51,0,0,9616,524228.51,,,,,
2248,2019-07-07,Infused (edible),Each,6160,181628.34,0,0,6160,181628.34,,,,,
2248,2019-07-07,Raw Pre-Rolls,Grams,0,0,0.5,8,0.5,8,,,,,
2248,2019-07-07,Raw Pre-Rolls,Grams,0,0,2149.8,34158.33,2149.8,34158.33,,,,,
2248,2019-07-07,Buds,Grams,0,0,44184.5,628941.19,44184.5,628941.19,,,,,
2248,2019-07-07,Concentrate (Each),Each,2,75.5,0,0,2,75.5,,,,,
2248,2019-07-07,Buds,Grams,0,0,18.5,240.6,18.5,240.6,,,,,
2248,2019-07-07,Shake/Trim (by strain),Grams,0,0,212,3160.7,212,3160.7,,,,,
2248,2019-07-07,Infused (non-edible),Each,1345,61068.16,0,0,1345,61068.16,,,,,
2248,2019-07-07,Concentrate (Each),Each,7786,426970.47,0,0,7786,426970.47,,,,,
2248,2019-07-07,Concentrate,Grams,0,0,72.6,4606.93,72.6,4606.93,,,,,
2248,2019-07-07,Suppository,Each,1,16,0,0,1,16,,,,,
2248,2019-07-07,Infused (edible),Each,2,38,0,0,2,38,,,,,
2260,2019-07-08,Shake/Trim (by strain),Grams,0,0,170.5,2561.1,170.5,2561.1,,,,,
2260,2019-07-08,Concentrate (Each),Each,7134,392685.66,0,0,7134,392685.66,,,,,
2260,2019-07-08,Raw Pre-Rolls,Grams,0,0,8,108,8,108,,,,,
2260,2019-07-08,Raw Pre-Rolls,Grams,0,0,2119.8,34213.58,2119.8,34213.58,,,,,
2260,2019-07-08,Buds,Grams,0,0,3.5,50,3.5,50,,,,,
2260,2019-07-08,Infused (non-edible),Each,1261,57967.82,0,0,1261,57967.82,,,,,
2260,2019-07-08,Buds,Grams,0,0,39763.9,565098.5,39763.9,565098.5,,,,,
2260,2019-07-08,Concentrate,Each,78,4620.01,0,0,78,4620.01,,,,,
2260,2019-07-08,Infused (edible),Each,5102,146840.86,0,0,5102,146840.86,,,,,
2260,2019-07-08,Concentrate,Grams,0,0,70.2,4016.5,70.2,4016.5,,,,,
2270,2019-07-09,Raw Pre-Rolls,Each,1,18,0,0,1,18,,,,,
2270,2019-07-09,Buds,Grams,0,0,14,146.96,14,146.96,,,,,
2270,2019-07-09,Buds,Grams,0,0,40808.75,584727.62,40808.75,584727.62,,,,,
2270,2019-07-09,Infused (non-edible),Each,1316,61928.26,0,0,1316,61928.26,,,,,
2270,2019-07-09,Concentrate,Grams,0,0,87.45,4563.7,87.45,4563.7,,,,,
2270,2019-07-09,Concentrate (Each),Each,7126,393226.63,0,0,7126,393226.63,,,,,
2270,2019-07-09,Raw Pre-Rolls,Grams,0,0,2377.9,38513.57,2377.9,38513.57,,,,,
2270,2019-07-09,Infused (edible),Each,1,21,0,0,1,21,,,,,
2270,2019-07-09,Concentrate,Each,84,4962.01,0,0,84,4962.01,,,,,
2270,2019-07-09,Shake/Trim (by strain),Grams,0,0,173.5,2620.35,173.5,2620.35,,,,,
2270,2019-07-09,Infused (edible),Each,5138,148656.58,0,0,5138,148656.58,,,,,
2270,2019-07-09,Raw Pre-Rolls,Grams,0,0,12,156.6,12,156.6,,,,,
2282,2019-07-10,Shake/Trim (by strain),Grams,0,0,190.7,2539.51,190.7,2539.51,,,,,
2282,2019-07-10,Infused (edible),Each,3,33.49,0,0,3,33.49,,,,,
2282,2019-07-10,Raw Pre-Rolls,Grams,0,0,2280.5,36696.2,2280.5,36696.2,,,,,
2282,2019-07-10,Concentrate,Each,16,960,0,0,16,960,,,,,
2282,2019-07-10,Concentrate (Each),Each,30,1085.87,0,0,30,1085.87,,,,,
2282,2019-07-10,Infused (non-edible),Each,1307,62872.73,0,0,1307,62872.73,,,,,
2282,2019-07-10,Buds,Grams,0,0,19,182.6,19,182.6,,,,,
2282,2019-07-10,Infused (edible),Each,5388,154724.31,0,0,5388,154724.31,,,,,
2282,2019-07-10,Kief,Grams,0,0,26,610.5,26,610.5,,,,,
2282,2019-07-10,Concentrate (Each),Each,7264,398633.74,0,0,7264,398633.74,,,,,
2282,2019-07-10,Buds,Grams,0,0,41173.87,588175.64,41173.87,588175.64,,,,,
2282,2019-07-10,Concentrate,Grams,0,0,93.15,4961.24,93.15,4961.24,,,,,
2294,2019-07-11,Shake/Trim (by strain),Grams,0,0,303,3712.7,303,3712.7,,,,,
2294,2019-07-11,Shake/Trim,Grams,0,0,28,240,28,240,,,,,
2294,2019-07-11,Concentrate (Each),Each,7792,428783.96,0,0,7792,428783.96,,,,,
2294,2019-07-11,Concentrate (Each),Each,5,218.36,0,0,5,218.36,,,,,
2294,2019-07-11,Kief,Grams,0,0,34,876,34,876,,,,,
2294,2019-07-11,Infused (edible),Each,1,42,0,0,1,42,,,,,
2294,2019-07-11,Buds,Grams,0,0,3.5,30,3.5,30,,,,,
2294,2019-07-11,Raw Pre-Rolls,Grams,0,0,3397.1,53455.32,3397.1,53455.32,,,,,
2294,2019-07-11,Raw Pre-Rolls,Grams,0,0,13,171.39,13,171.39,,,,,
2294,2019-07-11,Concentrate,Grams,0,0,111.4,5557.08,111.4,5557.08,,,,,
2294,2019-07-11,Buds,Grams,0,0,46390.5,658295.55,46390.5,658295.55,,,,,
2294,2019-07-11,Infused (edible),Each,6606,197606.16,0,0,6665.01,197606.16,,,,,
2294,2019-07-11,Infused (non-edible),Each,1844,93625.41,0,0,1844,93625.41,,,,,
2294,2019-07-11,Concentrate,Each,72,4320,0,0,72,4320,,,,,
2308,2019-07-12,Infused (edible),Each,8540,247763.46,0,0,8540,247763.46,,,,,
2308,2019-07-12,Infused (non-edible),Each,1,11.2,0,0,1,11.2,,,,,
2308,2019-07-12,Raw Pre-Rolls,Grams,0,0,3790.7,59207.05,3790.7,59207.05,,,,,
2308,2019-07-12,Infused (non-edible),Each,1961,102941.79,0,0,1961,102941.79,,,,,
2308,2019-07-12,Shake/Trim (by strain),Grams,0,0,581.5,6383.65,581.5,6383.65,,,,,
2308,2019-07-12,Buds,Grams,0,0,58533.75,838838.02,58533.75,838838.02,,,,,
2308,2019-07-12,Concentrate (Each),Each,4,190.51,0,0,4,190.51,,,,,
2308,2019-07-12,Raw Pre-Rolls,Grams,0,0,3,44.19,3,44.19,,,,,
2308,2019-07-12,Concentrate (Each),Each,9904,539372.07,0,0,9904,539372.07,,,,,
2308,2019-07-12,Kief,Grams,0,0,46,1160,46,1160,,,,,
2308,2019-07-12,Concentrate,Grams,0,0,124.05,6348.08,124.05,6348.08,,,,,
2308,2019-07-12,Suppository,Each,1,16,0,0,1,16,,,,,
2308,2019-07-12,Buds,Grams,0,0,12.5,144.4,12.5,144.4,,,,,
2308,2019-07-12,Infused (edible),Each,7,27.3,0,0,7,27.3,,,,,
2322,2019-07-13,Suppository,Each,1,16,0,0,1,16,,,,,
2322,2019-07-13,Shake/Trim (by strain),Grams,0,0,401.6,4916.11,401.6,4916.11,,,,,
2322,2019-07-13,Raw Pre-Rolls,Grams,0,0,5,66.8,5,66.8,,,,,
2322,2019-07-13,Concentrate (Each),Each,9552,519944.45,0,0,9552,519944.45,,,,,
2322,2019-07-13,Concentrate,Grams,0,0,132.05,9376.81,132.05,9376.81,,,,,
2322,2019-07-13,Kief,Grams,0,0,29,860,29,860,,,,,
2322,2019-07-13,Infused (edible),Each,4,11.2,0,0,4,11.2,,,,,
2322,2019-07-13,Raw Pre-Rolls,Grams,0,0,3203.5,50306.42,3203.5,50306.42,,,,,
2322,2019-07-13,Infused (edible),Each,8771,257690.89,0,0,8771,257690.89,,,,,
2322,2019-07-13,Infused (non-edible),Each,2111,108835.14,0,0,2111,108835.14,,,,,
2322,2019-07-13,Buds,Grams,0,0,56253.65,806589.65,56253.65,806589.65,,,,,
2322,2019-07-13,Concentrate (Each),Each,3,152.97,0,0,3,152.97,,,,,
2322,2019-07-13,Buds,Grams,0,0,31.5,292.75,31.5,292.75,,,,,
2335,2019-07-14,Infused (edible),Each,6524,201458.31,0,0,6524,201458.31,,,,,
2335,2019-07-14,Infused (edible),Each,12,86.59,0,0,12,86.59,,,,,
2335,2019-07-14,Buds,Grams,0,0,44110.15,629314.11,44110.15,629314.11,,,,,
2335,2019-07-14,Raw Pre-Rolls,Grams,0,0,2930.5,46185.74,2930.5,46185.74,,,,,
2335,2019-07-14,Shake/Trim,Grams,0,0,1.7,4.37,1.7,4.37,,,,,
2335,2019-07-14,Concentrate (Each),Each,2,115,0,0,2,115,,,,,
2335,2019-07-14,Shake/Trim (by strain),Grams,0,0,216.1,2783.7,216.1,2783.7,,,,,
2335,2019-07-14,Concentrate (Each),Each,7515,408761.79,0,0,7515,408761.79,,,,,
2335,2019-07-14,Concentrate,Grams,0,0,96.65,5729.11,96.65,5729.11,,,,,
2335,2019-07-14,Infused (non-edible),Each,1444,78424.13,0,0,1444,78424.13,,,,,
2335,2019-07-14,Kief,Grams,0,0,20,600,20,600,,,,,
2335,2019-07-14,Buds,Grams,0,0,19.5,196.51,19.5,196.51,,,,,
2347,2019-07-15,Raw Pre-Rolls,Grams,0,0,9,125.39,9,125.39,,,,,
2347,2019-07-15,Raw Pre-Rolls,Grams,0,0,2201.5,34499.15,2201.5,34499.15,,,,,
2347,2019-07-15,Infused (non-edible),Each,2,27.34,0,0,2,27.34,,,,,
2347,2019-07-15,Kief,Grams,0,0,21,630,21,630,,,,,
2347,2019-07-15,Concentrate (Each),Each,6256,342587.82,0,0,6256,342587.82,,,,,
2347,2019-07-15,Buds,Grams,0,0,162.75,1901.26,162.75,1901.26,,,,,
2347,2019-07-15,Buds,Grams,0,0,35925.2,511127.23,35925.2,511127.23,,,,,
2347,2019-07-15,Suppository,Each,1,16,0,0,1,16,,,,,
2347,2019-07-15,Infused (edible),Each,4904,139891.44,0,0,4904,139891.44,,,,,
2347,2019-07-15,Concentrate,Grams,0,0,85.4,4003.89,85.4,4003.89,,,,,
2347,2019-07-15,Shake/Trim (by strain),Grams,0,0,335.4,3768.97,335.4,3768.97,,,,,
2347,2019-07-15,Concentrate (Each),Each,8,290.08,0,0,8,290.08,,,,,
2347,2019-07-15,Infused (edible),Each,4,46.54,0,0,4,46.54,,,,,
2347,2019-07-15,Infused (non-edible),Each,1496,77848.77,0,0,1496,77848.77,,,,,
2361,2019-07-16,Concentrate,Grams,0,0,46.45,2634.98,46.45,2634.98,,,,,
2361,2019-07-16,Buds,Grams,0,0,1,9.8,1,9.8,,,,,
2361,2019-07-16,Concentrate (Each),Each,13,497.3,0,0,13,497.3,,,,,
2361,2019-07-16,Suppository,Each,1,16,0,0,1,16,,,,,
2361,2019-07-16,Infused (non-edible),Each,1351,69745.99,0,0,1351,69745.99,,,,,
2361,2019-07-16,Raw Pre-Rolls,Grams,0,0,2140.5,31826.35,2140.5,31826.35,,,,,
2361,2019-07-16,Shake/Trim (by strain),Grams,0,0,305.6,3206.34,305.6,3206.34,,,,,
2361,2019-07-16,Concentrate (Each),Each,7019,375132.86,0,0,7019,375132.86,,,,,
2361,2019-07-16,Raw Pre-Rolls,Each,1,12.6,0,0,1,12.6,,,,,
2361,2019-07-16,Kief,Grams,0,0,21,630,21,630,,,,,
2361,2019-07-16,Infused (edible),Each,3,50.4,0,0,3,50.4,,,,,
2361,2019-07-16,Infused (edible),Each,5941,172219.92,0,0,5941,172219.92,,,,,
2361,2019-07-16,Buds,Grams,0,0,36817.85,525958.28,36817.85,525958.28,,,,,
2374,2019-07-17,Kief,Grams,0,0,20,600,20,600,,,,,
2374,2019-07-17,Infused (non-edible),Each,1455,73264.26,0,0,1455,73264.26,,,,,
2374,2019-07-17,Concentrate (Each),Each,7028,371068.51,0,0,7028,371068.51,,,,,
2374,2019-07-17,Buds,Grams,0,0,3.5,35,3.5,35,,,,,
2374,2019-07-17,Buds,Grams,0,0,40045.05,571730.03,40045.05,571730.03,,,,,
2374,2019-07-17,Infused (edible),Each,1,11.2,0,0,1,11.2,,,,,
2374,2019-07-17,Infused (edible),Each,6241,182184.74,0,0,6241,182184.74,,,,,
2374,2019-07-17,Shake/Trim (by strain),Grams,0,0,295.2,3428.33,295.2,3428.33,,,,,
2374,2019-07-17,Raw Pre-Rolls,Grams,0,0,2951,43697.62,2951,43697.62,,,,,
2374,2019-07-17,Concentrate (Each),Each,2,84,0,0,2,84,,,,,
2374,2019-07-17,Concentrate,Grams,0,0,43.3,3068.99,43.3,3068.99,,,,,
2385,2019-07-18,Raw Pre-Rolls,Grams,0,0,3249.2,51240.68,3249.2,51240.68,,,,,
2385,2019-07-18,Suppository,Each,6,96,0,0,6,96,,,,,
2385,2019-07-18,Buds,Grams,0,0,47804.9,676767.33,47804.9,676767.33,,,,,
2385,2019-07-18,Concentrate,Grams,0,0,38.5,3652.72,38.5,3652.72,,,,,
2385,2019-07-18,Infused (non-edible),Each,1747,86751.96,0,0,1747,86751.96,,,,,
2385,2019-07-18,Concentrate (Each),Each,7811,459657.99,0,0,8483.5,459657.99,,,,,
2385,2019-07-18,Buds,Grams,0,0,7,66.5,7,66.5,,,,,
2385,2019-07-18,Infused (edible),Each,6683,196168.38,0,0,6768.11,196168.38,,,,,
2385,2019-07-18,Kief,Grams,0,0,23,670.5,23,670.5,,,,,
2385,2019-07-18,Shake/Trim (by strain),Grams,0,0,213,3183.75,213,3183.75,,,,,
2395,2019-07-19,Shake/Trim (by strain),Grams,0,0,316.1,4019.19,316.1,4019.19,,,,,
2395,2019-07-19,Buds,Grams,0,0,57766,819352.24,57766,819352.24,,,,,
2395,2019-07-19,Raw Pre-Rolls,Grams,0,0,4492.8,69596.74,4492.8,69596.74,,,,,
2395,2019-07-19,Infused (edible),Each,1,42,0,0,1,42,,,,,
2395,2019-07-19,Kief,Grams,0,0,33,951,33,951,,,,,
2395,2019-07-19,Concentrate (Each),Each,9892,539555.03,0,0,9892,539555.03,,,,,
2395,2019-07-19,Buds,Grams,0,0,24.5,255.26,24.5,255.26,,,,,
2395,2019-07-19,Infused (non-edible),Each,1778,88390.63,0,0,1778,88390.63,,,,,
2395,2019-07-19,Raw Pre-Rolls,Grams,0,0,3,26.43,3,26.43,,,,,
2395,2019-07-19,Concentrate (Each),Each,2,76.32,0,0,2,76.32,,,,,
2395,2019-07-19,Infused (edible),Each,9232,240432.91,0,0,9232,240432.91,,,,,
2395,2019-07-19,Suppository,Each,2,32,0,0,2,32,,,,,
2395,2019-07-19,Kief,Grams,0,0,3.5,60,3.5,60,,,,,
2395,2019-07-19,Concentrate,Grams,0,0,41,3321.51,41,3321.51,,,,,
2409,2019-07-20,Infused (non-edible),Each,1687,81362.32,0,0,1687,81362.32,,,,,
2409,2019-07-20,Infused (edible),Each,4,7.2,0,0,4,7.2,,,,,
2409,2019-07-20,Concentrate (Each),Each,9381,506770.53,0,0,9381,506770.53,,,,,
2409,2019-07-20,Infused (edible),Each,10470,249844.03,0,0,10470,249844.03,,,,,
2409,2019-07-20,Kief,Grams,0,0,32,960,32,960,,,,,
2409,2019-07-20,Concentrate,Grams,0,0,39,3201.6,39,3201.6,,,,,
2409,2019-07-20,Raw Pre-Rolls,Grams,0,0,3753.5,58279.27,3753.5,58279.27,,,,,
2409,2019-07-20,Shake/Trim (by strain),Grams,0,0,290,3847.81,290,3847.81,,,,,
2409,2019-07-20,Buds,Grams,0,0,55395.95,797145.88,55395.95,797145.88,,,,,
2418,2019-07-21,Kief,Grams,0,0,20,600,20,600,,,,,
2418,2019-07-21,Infused (edible),Each,8302,200604.83,0,0,8302,200604.83,,,,,
2418,2019-07-21,Infused (non-edible),Each,1511,74916.72,0,0,1511,74916.72,,,,,
2418,2019-07-21,Buds,Grams,0,0,44939.75,648115.07,44939.75,648115.07,,,,,
2418,2019-07-21,Infused (edible),Each,2,28.81,0,0,2,28.81,,,,,
2418,2019-07-21,Raw Pre-Rolls,Grams,0,0,3201.3,49608.09,3201.3,49608.09,,,,,
2418,2019-07-21,Concentrate (Each),Each,7705,420076.6,0,0,7705,420076.6,,,,,
2418,2019-07-21,Raw Pre-Rolls,Grams,0,0,2,28.8,2,28.8,,,,,
2418,2019-07-21,Concentrate,Grams,0,0,11,868.9,11,868.9,,,,,
2418,2019-07-21,Shake/Trim (by strain),Grams,0,0,418,4687.5,418,4687.5,,,,,
2418,2019-07-21,Buds,Grams,0,0,8,58.5,8,58.5,,,,,
2429,2019-07-22,Infused (edible),Each,6111,151066.34,0,0,6111,151066.34,,,,,
2429,2019-07-22,Buds,Grams,0,0,38500.5,550109.67,38500.5,550109.67,,,,,
2429,2019-07-22,Buds,Grams,0,0,1.75,22.5,1.75,22.5,,,,,
2429,2019-07-22,Concentrate (Each),Each,1,31.5,0,0,1,31.5,,,,,
2429,2019-07-22,Concentrate (Each),Each,6098,382508.37,0,0,6950.5,382508.37,,,,,
2429,2019-07-22,Kief,Grams,0,0,19,570,19,570,,,,,
2429,2019-07-22,Raw Pre-Rolls,Grams,0,0,3018.8,46349.16,3018.8,46349.16,,,,,
2429,2019-07-22,Infused (non-edible),Each,1506,75270.65,0,0,1506,75270.65,,,,,
2429,2019-07-22,Shake/Trim (by strain),Grams,0,0,372,4395,372,4395,,,,,
2429,2019-07-22,Concentrate,Grams,0,0,18,1317.8,18,1317.8,,,,,
2439,2019-07-23,Shake/Trim (by strain),Grams,0,0,1038,10162.5,1038,10162.5,,,,,
2439,2019-07-23,Kief,Grams,0,0,17,510,17,510,,,,,
2439,2019-07-23,Infused (edible),Each,5966,165547.97,0,0,5966,165547.97,,,,,
2439,2019-07-23,Infused (non-edible),Each,1477,74091.66,0,0,1477,74091.66,,,,,
2439,2019-07-23,Concentrate (Each),Each,7308,401925.6,0,0,7308,401925.6,,,,,
2439,2019-07-23,Raw Pre-Rolls,Grams,0,0,3,42.87,3,42.87,,,,,
2439,2019-07-23,Buds,Grams,0,0,41617.5,596435.47,41617.5,596435.47,,,,,
2439,2019-07-23,Concentrate,Grams,0,0,59.05,1809.69,59.05,1809.69,,,,,
2439,2019-07-23,Buds,Grams,0,0,7,95.12,7,95.12,,,,,
2439,2019-07-23,Concentrate (Each),Each,2,96.2,0,0,2,96.2,,,,,
2439,2019-07-23,Raw Pre-Rolls,Grams,0,0,3351.4,52914.14,3351.4,52914.14,,,,,
2439,2019-07-23,Infused (edible),Each,8,22.4,0,0,8,22.4,,,,,
2451,2019-07-24,Concentrate,Grams,0,0,28.5,2699.42,28.5,2699.42,,,,,
2451,2019-07-24,Raw Pre-Rolls,Grams,0,0,2708,41454.77,2708,41454.77,,,,,
2451,2019-07-24,Infused (non-edible),Each,1401,66384.79,0,0,1401,66384.79,,,,,
